exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
511,0,"('frontend',)",a1.medium,frontend,reservationHandler,0.0005
511,0,"('frontend',)",a1.medium,frontend,userHandler,0.001
511,0,"('frontend',)",a1.medium,frontend,searchHandler,0.0005
511,0,"('frontend',)",a1.medium,frontend,recommendHandler,0.0921
766,0,"('frontend',)",M6.medium,frontend,reservationHandler,0.0006
766,0,"('frontend',)",M6.medium,frontend,userHandler,0.0002
766,0,"('frontend',)",M6.medium,frontend,searchHandler,0.0005
766,0,"('frontend',)",M6.medium,frontend,recommendHandler,0.0848
1276,0,"('frontend',)",a1.large,frontend,reservationHandler,0.0003
1276,0,"('frontend',)",a1.large,frontend,userHandler,0.0002
1276,0,"('frontend',)",a1.large,frontend,searchHandler,0.0006
1276,0,"('frontend',)",a1.large,frontend,recommendHandler,0.0208
1276,1,"('frontend',)",a1.large,frontend,reservationHandler,0.0004
1276,1,"('frontend',)",a1.large,frontend,userHandler,0.0001
1276,1,"('frontend',)",a1.large,frontend,searchHandler,0.0002
1276,1,"('frontend',)",a1.large,frontend,recommendHandler,0.0203
1276,2,"('frontend',)",a1.large,frontend,reservationHandler,0.0004
1276,2,"('frontend',)",a1.large,frontend,userHandler,0.0002
1276,2,"('frontend',)",a1.large,frontend,searchHandler,0.0002
1276,2,"('frontend',)",a1.large,frontend,recommendHandler,0.0185
513,0,"('profile',)",a1.medium,profile,GetProfiles,0.0347
513,1,"('profile',)",a1.medium,profile,GetProfiles,0.0338
513,2,"('profile',)",a1.medium,profile,GetProfiles,0.0364
514,0,"('rate',)",a1.medium,rate,GetRates,0.0007
514,1,"('rate',)",a1.medium,rate,GetRates,0.0007
514,2,"('rate',)",a1.medium,rate,GetRates,0.0009
515,0,"('recommendation',)",a1.medium,recommendation,GetRecommendations,0.0074
515,1,"('recommendation',)",a1.medium,recommendation,GetRecommendations,0.0081
515,2,"('recommendation',)",a1.medium,recommendation,GetRecommendations,0.0064
516,0,"('reservation',)",a1.medium,reservation,CheckAvailability,0.0015
516,1,"('reservation',)",a1.medium,reservation,CheckAvailability,0.0018
516,2,"('reservation',)",a1.medium,reservation,CheckAvailability,0.0018
517,0,"('search',)",a1.medium,search,Nearby,0.0006
517,1,"('search',)",a1.medium,search,Nearby,0.001
517,2,"('search',)",a1.medium,search,Nearby,0.0008
518,0,"('user',)",a1.medium,user,CheckUser,0.0003
518,1,"('user',)",a1.medium,user,CheckUser,0.0005
773,0,"('user',)",M6.medium,user,CheckUser,0.0002
773,1,"('user',)",M6.medium,user,CheckUser,0.0002
773,2,"('user',)",M6.medium,user,CheckUser,0.0003
1284,0,"('frontend', 'geo')",a1.large,frontend,reservationHandler,0.0003
1284,0,"('frontend', 'geo')",a1.large,frontend,userHandler,0.0002
1284,0,"('frontend', 'geo')",a1.large,frontend,searchHandler,0.0004
1284,0,"('frontend', 'geo')",a1.large,frontend,recommendHandler,0.0186
1284,1,"('frontend', 'geo')",a1.large,frontend,reservationHandler,0.0002
1284,1,"('frontend', 'geo')",a1.large,frontend,userHandler,0.0002
1284,1,"('frontend', 'geo')",a1.large,frontend,searchHandler,0.0003
1284,1,"('frontend', 'geo')",a1.large,frontend,recommendHandler,0.02
1284,2,"('frontend', 'geo')",a1.large,frontend,reservationHandler,0.0003
1284,2,"('frontend', 'geo')",a1.large,frontend,userHandler,0.0002
1284,2,"('frontend', 'geo')",a1.large,frontend,searchHandler,0.0003
1284,2,"('frontend', 'geo')",a1.large,frontend,recommendHandler,0.0204
1285,0,"('frontend', 'profile')",a1.large,frontend,reservationHandler,0.0002
1285,0,"('frontend', 'profile')",a1.large,frontend,userHandler,0.0001
1285,0,"('frontend', 'profile')",a1.large,frontend,searchHandler,0.0003
1285,0,"('frontend', 'profile')",a1.large,frontend,recommendHandler,0.0127
1285,0,"('frontend', 'profile')",a1.large,profile,GetProfiles,0.031
1285,1,"('frontend', 'profile')",a1.large,frontend,reservationHandler,0.0002
1285,1,"('frontend', 'profile')",a1.large,frontend,userHandler,0.0001
1285,1,"('frontend', 'profile')",a1.large,frontend,searchHandler,0.0002
1285,1,"('frontend', 'profile')",a1.large,frontend,recommendHandler,0.0129
1285,1,"('frontend', 'profile')",a1.large,profile,GetProfiles,0.0313
1285,2,"('frontend', 'profile')",a1.large,frontend,reservationHandler,0.0003
1285,2,"('frontend', 'profile')",a1.large,frontend,userHandler,0.0001
1285,2,"('frontend', 'profile')",a1.large,frontend,searchHandler,0.0002
1285,2,"('frontend', 'profile')",a1.large,frontend,recommendHandler,0.0131
1285,2,"('frontend', 'profile')",a1.large,profile,GetProfiles,0.0328
1286,0,"('frontend', 'rate')",a1.large,frontend,reservationHandler,0.0004
1286,0,"('frontend', 'rate')",a1.large,frontend,userHandler,0.0002
1286,0,"('frontend', 'rate')",a1.large,frontend,searchHandler,0.0004
1286,0,"('frontend', 'rate')",a1.large,frontend,recommendHandler,0.0232
1286,0,"('frontend', 'rate')",a1.large,rate,GetRates,0.0014
1541,0,"('frontend', 'rate')",M6.large,frontend,reservationHandler,0.0005
1541,0,"('frontend', 'rate')",M6.large,frontend,userHandler,0.0002
1541,0,"('frontend', 'rate')",M6.large,frontend,searchHandler,0.0004
1541,0,"('frontend', 'rate')",M6.large,frontend,recommendHandler,0.028
1541,0,"('frontend', 'rate')",M6.large,rate,GetRates,0.0012
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,reservationHandler,0.0002
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,userHandler,0.0001
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0005
2051,0,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.017
2051,0,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0011
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,reservationHandler,0.0003
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,userHandler,0.0001
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0003
2051,1,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.0163
2051,1,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0012
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,reservationHandler,0.0005
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,userHandler,0.0002
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,searchHandler,0.0004
2051,2,"('frontend', 'rate')",a1.xlarge,frontend,recommendHandler,0.0168
2051,2,"('frontend', 'rate')",a1.xlarge,rate,GetRates,0.0014
11,0,"('frontend', 'rate')",t3.micro,frontend,reservationHandler,0.0003
11,0,"('frontend', 'rate')",t3.micro,frontend,userHandler,0.0003
11,0,"('frontend', 'rate')",t3.micro,frontend,searchHandler,0.0004
11,0,"('frontend', 'rate')",t3.micro,frontend,recommendHandler,0.0246
11,0,"('frontend', 'rate')",t3.micro,rate,GetRates,0.0009
266,0,"('frontend', 'rate')",t3.small,frontend,reservationHandler,0.0005
266,0,"('frontend', 'rate')",t3.small,frontend,userHandler,0.0002
266,0,"('frontend', 'rate')",t3.small,frontend,searchHandler,0.0005
266,0,"('frontend', 'rate')",t3.small,frontend,recommendHandler,0.0236
266,0,"('frontend', 'rate')",t3.small,rate,GetRates,0.0009
