exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
511,0,"('frontend',)",a1.medium,180.87,101.98,45.81,1386491050.67,1388114773.33,2662400.0,4.25,0.0,1.44,1.32,1.32
766,0,"('frontend',)",M6.medium,177.95,101.04,46.04,3322154325.33,2322763605.33,2662400.0,5.25,0.0,1.35,1.33,1.33
1276,0,"('frontend',)",a1.large,244.33,65.14,30.0,3222689280.0,2376391168.0,2662400.0,5.17,0.0,0.9,0.79,0.79
1276,1,"('frontend',)",a1.large,549.89,89.15,42.37,3238889984.0,2377246549.33,2662400.0,5.17,0.0,1.03,0.78,0.78
1276,2,"('frontend',)",a1.large,857.84,114.16,55.32,3231423317.33,2377608874.67,2662400.0,4.83,0.0,0.89,0.64,0.64
513,0,"('profile',)",a1.medium,222.4,75.57,35.98,1454893568.0,1406998357.33,2662400.0,5.5,0.04,2.43,1.22,1.22
513,0,"('profile',)",a1.medium,438.54,132.74,68.58,1418494293.33,1403497813.33,2662400.0,4.83,0.0,2.75,1.62,1.62
513,1,"('profile',)",a1.medium,657.76,179.79,100.13,1435263146.67,1399033344.0,2662400.0,5.33,0.0,3.25,1.86,1.86
513,2,"('profile',)",a1.medium,875.84,226.64,132.04,1438065152.0,1402017962.67,2662400.0,5.96,0.0,3.3,2.01,2.01
514,0,"('rate',)",a1.medium,1170.58,254.74,149.17,1443078144.0,1324448768.0,2662400.0,3.67,0.0,0.32,0.96,0.96
514,1,"('rate',)",a1.medium,1484.69,278.23,162.7,1441733290.67,1325790720.0,2662400.0,3.58,0.0,0.17,0.52,0.52
514,2,"('rate',)",a1.medium,1799.7,301.3,175.85,1441869994.67,1326967296.0,2662400.0,3.04,0.0,0.77,0.5,0.5
515,0,"('recommendation',)",a1.medium,2108.72,326.26,189.64,1437834752.0,1326164821.33,2662400.0,3.71,0.0,0.47,0.52,0.52
515,1,"('recommendation',)",a1.medium,2418.68,351.56,203.08,1436651690.67,1326359552.0,2662400.0,3.54,0.0,0.12,0.33,0.33
515,2,"('recommendation',)",a1.medium,2727.68,376.54,216.54,1436948138.67,1326558208.0,2662400.0,3.83,0.0,0.31,0.26,0.26
516,0,"('reservation',)",a1.medium,3001.84,408.93,239.92,1440132778.67,1341613909.33,2662400.0,3.96,0.0,1.66,0.82,0.82
516,1,"('reservation',)",a1.medium,3293.34,436.7,259.24,1440534186.67,1332032682.67,2662400.0,3.96,0.0,1.04,0.98,0.98
516,2,"('reservation',)",a1.medium,3585.9,464.78,278.46,1439904768.0,1332649472.0,2662400.0,3.71,0.0,2.11,1.11,1.11
517,0,"('search',)",a1.medium,3895.41,489.94,292.8,1441061546.67,1332913664.0,2662400.0,3.67,0.0,0.09,0.73,0.73
517,1,"('search',)",a1.medium,4207.38,514.8,306.55,1440871253.33,1333085184.0,2662400.0,3.63,0.0,0.23,0.35,0.35
517,2,"('search',)",a1.medium,4521.18,539.2,320.05,1441567402.67,1332844714.67,2662400.0,3.96,0.04,0.4,0.39,0.39
518,0,"('user',)",a1.medium,4833.19,564.75,333.81,1439304874.67,1336818346.67,2662400.0,3.5,0.0,0.62,0.58,0.58
518,1,"('user',)",a1.medium,5146.34,589.94,347.33,1439146325.33,1337008128.0,2662400.0,3.58,0.0,0.28,0.32,0.32
773,0,"('user',)",M6.medium,256.9,90.9,37.94,3348231680.0,2325442389.33,2662400.0,4.08,0.0,0.56,0.95,0.95
773,1,"('user',)",M6.medium,573.52,112.96,49.32,3347681962.67,2325887146.67,2662400.0,3.46,0.0,0.5,0.64,0.64
773,2,"('user',)",M6.medium,890.31,134.94,60.7,3341894144.0,2326097237.33,2662400.0,3.88,0.04,0.11,0.33,0.33
1284,0,"('frontend', 'geo')",a1.large,257.64,71.54,32.11,3124723029.33,2382090240.0,2662400.0,4.29,0.0,2.09,1.52,1.52
1284,1,"('frontend', 'geo')",a1.large,582.99,102.41,47.54,3141252608.0,2383046997.33,2662400.0,5.38,0.0,0.55,0.81,0.81
1284,2,"('frontend', 'geo')",a1.large,936.54,121.85,57.71,3212538026.67,2375805610.67,2662400.0,4.57,0.0,0.15,0.38,0.38
1284,2,"('frontend', 'geo')",a1.large,1271.46,150.33,72.66,3135007573.33,2384078677.33,2662400.0,5.29,0.0,1.29,0.89,0.89
1285,0,"('frontend', 'profile')",a1.large,1547.58,192.06,100.01,3141524480.0,2466470912.0,2662400.0,8.0,0.0,4.18,2.08,2.08
1285,1,"('frontend', 'profile')",a1.large,1823.89,234.44,128.75,3227295914.67,2459045888.0,2662400.0,6.54,0.0,2.79,1.95,1.95
1285,2,"('frontend', 'profile')",a1.large,2097.99,277.7,158.18,3143315968.0,2466997930.67,2662400.0,7.04,0.0,2.94,1.92,1.92
1286,0,"('frontend', 'rate')",a1.large,2420.4,308.74,174.75,3235550208.0,2378815146.67,2662400.0,4.63,0.0,0.84,0.96,0.96
1541,0,"('frontend', 'rate')",M6.large,250.03,74.03,36.9,7434608640.0,2325492736.0,2662400.0,4.79,0.0,1.75,1.47,1.47
2051,0,"('frontend', 'rate')",a1.xlarge,308.03,43.73,21.09,7293079722.67,2383396352.0,2662400.0,6.25,0.0,0.81,0.81,0.81
2051,1,"('frontend', 'rate')",a1.xlarge,657.19,62.09,30.96,7300904106.67,2383805269.33,2662400.0,5.79,0.0,0.71,0.65,0.65
2051,2,"('frontend', 'rate')",a1.xlarge,1007.14,80.07,40.64,7287941632.0,2384017920.0,2662400.0,6.83,0.0,0.94,0.78,0.78
11,0,"('frontend', 'rate')",t3.micro,238.28,73.66,35.54,399209984.0,429945366.26,0.0,5.5,0.21,1.58,1.11,1.11
266,0,"('frontend', 'rate')",t3.small,308.81,51.8,23.49,1368666112.0,1371094869.33,2662400.0,4.67,0.0,0.55,0.69,0.69
266,0,"('frontend', 'rate')",t3.small,640.54,77.77,37.34,1362323114.67,1356528810.67,2662400.0,5.21,0.0,0.66,0.66,0.66
2306,0,"('frontend', 'rate')",M6.xlarge,317.72,41.69,21.74,15775942656.0,2374483285.33,2662400.0,5.33,0.0,0.63,0.9,0.9
2306,0,"('frontend', 'rate')",M6.xlarge,669.21,58.64,31.8,15677571584.0,2384411136.0,2662400.0,6.13,0.0,1.07,0.81,0.81
2306,1,"('frontend', 'rate')",M6.xlarge,1017.84,77.03,42.32,15667638954.67,2384697344.0,2662400.0,6.75,0.0,0.53,0.67,0.67
2306,2,"('frontend', 'rate')",M6.xlarge,1365.95,95.53,52.86,15663821994.67,2385334613.33,2662400.0,5.83,0.0,1.4,0.86,0.86
1287,0,"('frontend', 'recommendation')",a1.large,261.31,72.46,32.4,3152709802.67,2380803072.0,2662400.0,4.5,0.0,0.63,0.96,0.96
1287,1,"('frontend', 'recommendation')",a1.large,586.68,102.84,47.72,3145493333.33,2381601962.67,2662400.0,4.54,0.0,1.18,0.86,0.86
1287,2,"('frontend', 'recommendation')",a1.large,907.96,130.7,66.58,3105399978.67,2393062400.0,2662400.0,5.13,0.0,0.83,0.62,0.62
1542,0,"('frontend', 'recommendation')",M6.large,266.8,69.81,37.12,7454995114.67,2323678378.67,2662400.0,5.08,0.13,1.17,1.16,1.16
1542,0,"('frontend', 'recommendation')",M6.large,592.37,103.85,61.01,7434681344.0,2325370538.67,2662400.0,6.21,0.0,0.73,1.0,1.0
2052,0,"('frontend', 'recommendation')",a1.xlarge,299.34,48.86,26.58,7274452821.33,2383754922.67,2662400.0,6.04,0.0,0.82,0.96,0.96
2052,1,"('frontend', 'recommendation')",a1.xlarge,648.28,67.72,36.46,7295069866.67,2380441088.0,2662400.0,6.58,0.0,0.68,0.6,0.6
2052,2,"('frontend', 'recommendation')",a1.xlarge,996.84,86.32,46.51,7288909141.33,2380916565.33,2662400.0,6.17,0.0,0.94,0.67,0.67
1288,0,"('frontend', 'reservation')",a1.large,263.64,76.52,34.78,3144553642.67,2387298474.67,2662400.0,6.29,0.0,0.91,0.93,0.93
1543,0,"('frontend', 'reservation')",M6.large,232.69,75.65,37.52,7431481856.0,2329112064.0,2662400.0,5.71,0.0,3.02,1.78,1.78
2053,0,"('frontend', 'reservation')",a1.xlarge,305.06,42.06,21.73,7303766698.67,2386023082.67,2662400.0,6.21,0.0,1.28,0.99,0.99
