exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
2,0,"('compose-review-service',)",t3.micro,compose-review-service,UploadRating,0.3219
2,0,"('compose-review-service',)",t3.micro,compose-review-service,UploadUniqueId,0.7
2,0,"('compose-review-service',)",t3.micro,compose-review-service,UploadText,0.9337
2,0,"('compose-review-service',)",t3.micro,compose-review-service,UploadUserId,0.3297
2,0,"('compose-review-service',)",t3.micro,compose-review-service,UploadMovieId,0.6637
2049,0,"('compose-review-service',)",t3.small,compose-review-service,UploadRating,0.3858
2049,0,"('compose-review-service',)",t3.small,compose-review-service,UploadUniqueId,0.4396
2049,0,"('compose-review-service',)",t3.small,compose-review-service,UploadText,0.448
2049,0,"('compose-review-service',)",t3.small,compose-review-service,UploadUserId,0.3047
2049,0,"('compose-review-service',)",t3.small,compose-review-service,UploadMovieId,0.626
4096,0,"('compose-review-service',)",a1.medium,compose-review-service,UploadRating,0.5147
4096,0,"('compose-review-service',)",a1.medium,compose-review-service,UploadUniqueId,1.2986
4096,0,"('compose-review-service',)",a1.medium,compose-review-service,UploadText,0.3982
4096,0,"('compose-review-service',)",a1.medium,compose-review-service,UploadUserId,0.5479
4096,0,"('compose-review-service',)",a1.medium,compose-review-service,UploadMovieId,0.4025
6143,0,"('compose-review-service',)",M6.medium,compose-review-service,UploadRating,0.2301
6143,0,"('compose-review-service',)",M6.medium,compose-review-service,UploadUniqueId,0.5418
6143,0,"('compose-review-service',)",M6.medium,compose-review-service,UploadText,0.3056
6143,0,"('compose-review-service',)",M6.medium,compose-review-service,UploadUserId,0.3916
6143,0,"('compose-review-service',)",M6.medium,compose-review-service,UploadMovieId,0.3971
6143,1,"('compose-review-service',)",M6.medium,compose-review-service,UploadRating,1.0485
6143,1,"('compose-review-service',)",M6.medium,compose-review-service,UploadUniqueId,0.6194
6143,1,"('compose-review-service',)",M6.medium,compose-review-service,UploadText,0.7072
6143,1,"('compose-review-service',)",M6.medium,compose-review-service,UploadUserId,0.2995
6143,1,"('compose-review-service',)",M6.medium,compose-review-service,UploadMovieId,0.9563
8190,0,"('compose-review-service',)",t3.medium,compose-review-service,UploadRating,0.6776
8190,0,"('compose-review-service',)",t3.medium,compose-review-service,UploadUniqueId,0.5979
8190,0,"('compose-review-service',)",t3.medium,compose-review-service,UploadText,0.285
8190,0,"('compose-review-service',)",t3.medium,compose-review-service,UploadUserId,0.4551
8190,0,"('compose-review-service',)",t3.medium,compose-review-service,UploadMovieId,0.7348
10237,0,"('compose-review-service',)",a1.large,compose-review-service,UploadRating,0.3633
10237,0,"('compose-review-service',)",a1.large,compose-review-service,UploadUniqueId,0.4656
10237,0,"('compose-review-service',)",a1.large,compose-review-service,UploadText,0.6033
10237,0,"('compose-review-service',)",a1.large,compose-review-service,UploadUserId,0.447
10237,0,"('compose-review-service',)",a1.large,compose-review-service,UploadMovieId,0.1662
10237,1,"('compose-review-service',)",a1.large,compose-review-service,UploadRating,0.3725
10237,1,"('compose-review-service',)",a1.large,compose-review-service,UploadUniqueId,1.313
