exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
2049,0,"('compose-review-service',)",t3.small,281.92,46.48,24.0,1390402560.0,1368810154.67,2662400.0,4.83,0.0,0.31,0.59,0.59
4096,0,"('compose-review-service',)",a1.medium,299.42,33.34,25.34,1562927274.67,843052202.67,2662400.0,3.33,0.0,0.31,0.29,0.29
4096,0,"('compose-review-service',)",a1.medium,561.67,94.17,44.24,1401092266.67,1376526336.0,2662400.0,3.33,0.0,1.96,1.52,1.52
6143,0,"('compose-review-service',)",M6.medium,195.26,101.46,45.63,3300102144.0,2455130965.33,2662400.0,3.33,0.0,1.5,1.58,1.58
6143,1,"('compose-review-service',)",M6.medium,514.14,122.63,55.89,3288003584.0,2455605589.33,2662400.0,3.67,0.0,0.58,0.87,0.87
8190,0,"('compose-review-service',)",t3.medium,271.31,50.18,24.92,3286441472.0,2176769024.0,2662400.0,4.75,0.0,1.46,0.96,0.96
10237,0,"('compose-review-service',)",a1.large,273.0,47.59,21.63,3291579221.33,2169173674.67,2662400.0,4.04,0.0,0.48,0.53,0.53
10237,1,"('compose-review-service',)",a1.large,606.04,60.35,28.53,3298974208.0,2170274645.33,2662400.0,4.17,0.0,0.01,0.18,0.18
12284,0,"('compose-review-service',)",M6.large,294.65,30.3,20.23,7599284906.67,1122594986.67,2662400.0,4.79,0.0,0.37,0.43,0.43
12284,0,"('compose-review-service',)",M6.large,595.52,64.22,32.24,7455171584.0,2169925973.33,2662400.0,4.58,0.13,1.42,0.97,0.97
16378,0,"('compose-review-service',)",a1.xlarge,338.69,24.11,14.28,7499971413.33,1690862421.33,2662400.0,7.5,0.0,0.78,0.62,0.62
16378,1,"('compose-review-service',)",a1.xlarge,673.04,37.32,20.24,7438937770.67,2177311402.67,2662400.0,4.92,0.0,0.06,0.35,0.35
16378,1,"('compose-review-service',)",a1.xlarge,1015.94,44.79,24.89,7440713386.67,2177721685.33,2662400.0,5.92,0.0,0.04,0.12,0.12
18425,0,"('compose-review-service',)",M6.xlarge,323.89,32.11,16.78,15815882240.0,2174590464.0,2662400.0,5.63,0.0,0.55,0.65,0.65
14331,0,"('compose-review-service',)",t3.large,263.83,54.48,26.21,7440093354.67,2504172885.33,2662400.0,4.54,0.0,1.58,1.39,1.39
14331,1,"('compose-review-service',)",t3.large,596.78,67.69,33.45,7440204629.33,2508398762.67,2662400.0,4.04,0.0,0.03,0.49,0.49
20472,0,"('compose-review-service',)",a1.2xlarge,358.92,9.36,6.87,15902419626.67,1143217493.33,2662400.0,6.54,0.0,0.19,0.32,0.32
20472,0,"('compose-review-service',)",a1.2xlarge,699.05,20.04,11.48,15759329962.67,2175930538.67,2662400.0,6.29,0.0,0.2,0.32,0.32
20472,1,"('compose-review-service',)",a1.2xlarge,1050.84,23.47,13.74,15761312938.67,2176145066.67,2662400.0,7.17,0.0,0.05,0.14,0.14
20472,1,"('compose-review-service',)",a1.2xlarge,1401.81,27.32,16.27,15752958976.0,2176372736.0,2662400.0,6.83,0.0,0.02,0.07,0.07
20472,2,"('compose-review-service',)",a1.2xlarge,1752.67,31.18,18.87,15754938880.0,2176796842.67,2662400.0,6.67,0.0,0.17,0.13,0.13
4097,0,"('movie-id-service',)",a1.medium,205.81,92.1,39.97,1405782528.0,1391512746.67,2662400.0,3.63,0.0,0.56,1.19,1.19
4097,1,"('movie-id-service',)",a1.medium,529.5,110.67,47.97,1419998549.33,1402768725.33,2662400.0,3.75,0.0,0.03,0.43,0.43
4097,1,"('movie-id-service',)",a1.medium,847.91,131.94,58.19,1426984618.67,1418286080.0,2662400.0,3.83,0.0,0.18,0.22,0.22
4097,2,"('movie-id-service',)",a1.medium,1165.54,154.09,68.32,1427910144.0,1414072661.33,2662400.0,3.88,0.0,0.36,0.27,0.27
4098,0,"('movie-review-service',)",a1.medium,1476.42,180.32,80.07,1428216320.0,1348784810.67,2662400.0,3.92,0.0,0.81,0.55,0.55
4098,1,"('movie-review-service',)",a1.medium,1788.39,206.14,91.72,1429531989.33,1351447722.67,2662400.0,3.92,0.0,0.11,0.26,0.26
4098,2,"('movie-review-service',)",a1.medium,2099.52,231.93,103.83,1430020949.33,1353205760.0,2662400.0,4.04,0.0,0.27,0.3,0.3
4100,0,"('rating-service',)",a1.medium,2408.93,259.17,115.87,1428053674.67,1353399466.67,2662400.0,4.17,0.0,0.2,0.25,0.25
4100,1,"('rating-service',)",a1.medium,2725.01,282.57,125.51,1428980394.67,1353884501.33,2662400.0,4.17,0.0,0.26,0.2,0.2
4100,1,"('rating-service',)",a1.medium,3033.91,309.77,137.91,1429295786.67,1355048618.67,2662400.0,3.83,0.0,0.62,0.39,0.39
6147,0,"('rating-service',)",M6.medium,231.18,81.79,40.8,3312426666.67,2124314282.67,2662400.0,3.88,0.0,1.24,1.01,1.01
6147,1,"('rating-service',)",M6.medium,554.7,100.85,49.02,3313853440.0,2124931072.0,2662400.0,4.25,0.0,0.32,0.4,0.4
6147,1,"('rating-service',)",M6.medium,878.71,119.56,57.31,3307059712.0,2125044224.0,2662400.0,3.87,0.0,1.07,0.93,0.93
6147,1,"('rating-service',)",M6.medium,1197.53,141.19,67.43,3305349802.67,2125389653.33,2662400.0,4.08,0.0,0.16,0.47,0.47
6147,2,"('rating-service',)",M6.medium,1516.77,162.67,77.53,3305340245.33,2125605205.33,2662400.0,4.17,0.0,0.29,0.34,0.34
4101,0,"('review-storage-service',)",a1.medium,194.16,95.77,41.38,1388977664.0,1367302144.0,2662400.0,3.92,0.0,1.65,1.24,1.24
6148,0,"('review-storage-service',)",M6.medium,277.98,37.71,29.63,3495380309.33,843690837.33,2662400.0,3.5,0.0,0.16,0.38,0.38
6148,0,"('review-storage-service',)",M6.medium,536.72,101.65,49.01,3316668586.67,2124562261.33,2662400.0,3.88,0.0,0.78,0.99,0.99
6148,1,"('review-storage-service',)",M6.medium,860.88,120.24,57.16,3318100992.0,2124777301.33,2662400.0,3.88,0.0,0.55,0.56,0.56
6148,1,"('review-storage-service',)",M6.medium,1184.81,139.04,65.41,3315554133.33,2124863829.33,2662400.0,4.04,0.0,1.32,1.17,1.17
6148,1,"('review-storage-service',)",M6.medium,1509.22,157.55,73.44,3313389397.33,2124945408.0,2662400.0,3.83,0.0,0.37,0.71,0.71
6148,1,"('review-storage-service',)",M6.medium,2151.45,198.92,96.48,3322608128.0,2127693312.0,2662400.0,3.42,0.0,0.31,0.39,0.39
6148,2,"('review-storage-service',)",M6.medium,2475.91,217.35,104.56,3324012032.0,2127776426.67,2662400.0,3.58,0.0,0.04,0.17,0.17
6148,2,"('review-storage-service',)",M6.medium,2800.16,235.8,112.75,3322754218.67,2127859029.33,2662400.0,3.83,0.0,0.13,0.17,0.17
6148,2,"('review-storage-service',)",M6.medium,3119.52,257.09,122.86,3322809344.0,2128034474.67,2662400.0,3.29,0.0,0.21,0.21,0.21
10242,0,"('review-storage-service',)",a1.large,282.45,47.47,22.39,3296023961.6,2173487308.8,2662400.0,5.35,0.0,0.85,0.7,0.7
12289,0,"('review-storage-service',)",M6.large,253.52,56.95,26.68,7495157930.67,2453717504.0,2662400.0,3.71,0.0,1.11,0.92,0.92
12289,1,"('review-storage-service',)",M6.large,583.13,71.58,34.8,7458290858.67,2504546816.0,2662400.0,4.33,0.0,0.23,0.58,0.58
12289,2,"('review-storage-service',)",M6.large,916.28,83.99,42.26,7485874858.67,2504775509.33,2662400.0,4.17,0.0,0.18,0.27,0.27
16383,0,"('review-storage-service',)",a1.xlarge,303.62,36.29,22.28,7437060266.67,2169367210.67,2662400.0,4.83,0.04,0.54,0.66,0.66
16383,1,"('review-storage-service',)",a1.xlarge,646.3,45.79,30.96,7441574400.0,2174100138.67,2662400.0,5.0,0.0,0.17,0.34,0.34
16383,2,"('review-storage-service',)",a1.xlarge,989.13,55.26,39.84,7431711744.0,2174384469.33,2662400.0,5.42,0.0,0.35,0.29,0.29
4102,0,"('text-service',)",a1.medium,257.93,96.19,43.68,1389843797.33,1378086912.0,2662400.0,3.33,0.0,2.1,1.23,1.23
4102,0,"('text-service',)",a1.medium,530.33,115.22,52.79,1388970666.67,1371540480.0,2662400.0,3.63,0.0,0.54,0.67,0.67
4102,1,"('text-service',)",a1.medium,857.32,133.46,60.54,1403863040.0,1373556736.0,2662400.0,3.67,0.0,0.15,0.59,0.59
4102,1,"('text-service',)",a1.medium,1184.79,151.55,68.27,1403357525.33,1374712149.33,2662400.0,3.5,0.0,0.0,0.2,0.2
4102,1,"('text-service',)",a1.medium,1507.46,172.09,77.94,1411270826.67,1376798549.33,2662400.0,3.46,0.0,0.18,0.28,0.28
4102,2,"('text-service',)",a1.medium,1829.68,192.86,87.61,1412809045.33,1379996672.0,2662400.0,3.62,0.0,0.15,0.28,0.28
4103,0,"('unique-id-service',)",a1.medium,2148.63,216.12,97.83,1412704256.0,1338652501.33,2662400.0,3.37,0.0,0.48,0.76,0.76
4103,1,"('unique-id-service',)",a1.medium,2466.86,239.81,108.21,1413930837.33,1340967594.67,2662400.0,3.33,0.0,0.11,0.33,0.33
