exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
11,0,"('url-shorten-service',)",t3.micro,url-shorten-service,UploadUrls,0.6029
4106,0,"('url-shorten-service',)",t3.small,url-shorten-service,UploadUrls,0.7476
24581,0,"('url-shorten-service',)",t3.large,url-shorten-service,UploadUrls,0.3696
8201,0,"('url-shorten-service',)",a1.medium,url-shorten-service,UploadUrls,1.2888
16391,0,"('url-shorten-service',)",a1.large,url-shorten-service,UploadUrls,0.3468
28676,0,"('url-shorten-service',)",a1.xlarge,url-shorten-service,UploadUrls,0.4226
36866,0,"('url-shorten-service',)",a1.2xlarge,url-shorten-service,UploadUrls,0.4469
12296,0,"('url-shorten-service',)",M6.medium,url-shorten-service,UploadUrls,0.3045
20486,0,"('url-shorten-service',)",M6.large,url-shorten-service,UploadUrls,0.4545
32771,0,"('url-shorten-service',)",M6.xlarge,url-shorten-service,UploadUrls,0.3202
40961,0,"('url-shorten-service',)",M6.2xlarge,url-shorten-service,UploadUrls,0.3297
1,0,"('user-service',)",t3.micro,user-service,UploadUserWithUserId,0.2527
4096,0,"('user-service',)",t3.small,user-service,UploadUserWithUserId,0.2811
24571,0,"('user-service',)",t3.large,user-service,UploadUserWithUserId,0.1767
8191,0,"('user-service',)",a1.medium,user-service,UploadUserWithUserId,0.2237
16381,0,"('user-service',)",a1.large,user-service,UploadUserWithUserId,0.1445
28666,0,"('user-service',)",a1.xlarge,user-service,UploadUserWithUserId,0.1268
36856,0,"('user-service',)",a1.2xlarge,user-service,UploadUserWithUserId,0.1572
12286,0,"('user-service',)",M6.medium,user-service,UploadUserWithUserId,0.1138
20476,0,"('user-service',)",M6.large,user-service,UploadUserWithUserId,0.1556
32761,0,"('user-service',)",M6.xlarge,user-service,UploadUserWithUserId,0.2927
40951,0,"('user-service',)",M6.2xlarge,user-service,UploadUserWithUserId,0.1447
22,0,"('user-service', 'url-shorten-service')",t3.micro,user-service,UploadUserWithUserId,0.2657
22,0,"('user-service', 'url-shorten-service')",t3.micro,url-shorten-service,UploadUrls,0.3975
4117,0,"('user-service', 'url-shorten-service')",t3.small,user-service,UploadUserWithUserId,0.1819
4117,0,"('user-service', 'url-shorten-service')",t3.small,url-shorten-service,UploadUrls,0.354
24592,0,"('user-service', 'url-shorten-service')",t3.large,user-service,UploadUserWithUserId,0.1897
24592,0,"('user-service', 'url-shorten-service')",t3.large,url-shorten-service,UploadUrls,0.2717
8212,0,"('user-service', 'url-shorten-service')",a1.medium,user-service,UploadUserWithUserId,0.5065
8212,0,"('user-service', 'url-shorten-service')",a1.medium,url-shorten-service,UploadUrls,0.3807
16402,0,"('user-service', 'url-shorten-service')",a1.large,user-service,UploadUserWithUserId,0.2993
16402,0,"('user-service', 'url-shorten-service')",a1.large,url-shorten-service,UploadUrls,0.6517
28687,0,"('user-service', 'url-shorten-service')",a1.xlarge,user-service,UploadUserWithUserId,0.1393
28687,0,"('user-service', 'url-shorten-service')",a1.xlarge,url-shorten-service,UploadUrls,0.3579
36877,0,"('user-service', 'url-shorten-service')",a1.2xlarge,user-service,UploadUserWithUserId,0.144
36877,0,"('user-service', 'url-shorten-service')",a1.2xlarge,url-shorten-service,UploadUrls,0.5936
12307,0,"('user-service', 'url-shorten-service')",M6.medium,user-service,UploadUserWithUserId,0.3295
12307,0,"('user-service', 'url-shorten-service')",M6.medium,url-shorten-service,UploadUrls,0.6839
20497,0,"('user-service', 'url-shorten-service')",M6.large,user-service,UploadUserWithUserId,0.2062
20497,0,"('user-service', 'url-shorten-service')",M6.large,url-shorten-service,UploadUrls,0.4796
32782,0,"('user-service', 'url-shorten-service')",M6.xlarge,user-service,UploadUserWithUserId,0.2182
32782,0,"('user-service', 'url-shorten-service')",M6.xlarge,url-shorten-service,UploadUrls,0.218
40972,0,"('user-service', 'url-shorten-service')",M6.2xlarge,user-service,UploadUserWithUserId,0.1479
40972,0,"('user-service', 'url-shorten-service')",M6.2xlarge,url-shorten-service,UploadUrls,0.2551
2,0,"('social-graph-service',)",t3.micro,social-graph-service,GetFollowers,6.184
2,1,"('social-graph-service',)",t3.micro,social-graph-service,GetFollowers,5.878
2,2,"('social-graph-service',)",t3.micro,social-graph-service,GetFollowers,6.108
4097,0,"('social-graph-service',)",t3.small,social-graph-service,GetFollowers,5.41
4097,1,"('social-graph-service',)",t3.small,social-graph-service,GetFollowers,5.126
4097,2,"('social-graph-service',)",t3.small,social-graph-service,GetFollowers,10.617
8192,0,"('social-graph-service',)",a1.medium,social-graph-service,GetFollowers,12.199
8192,1,"('social-graph-service',)",a1.medium,social-graph-service,GetFollowers,5.485
8192,2,"('social-graph-service',)",a1.medium,social-graph-service,GetFollowers,5.596
12287,0,"('social-graph-service',)",M6.medium,social-graph-service,GetFollowers,14.748
12287,1,"('social-graph-service',)",M6.medium,social-graph-service,GetFollowers,10.068
12287,2,"('social-graph-service',)",M6.medium,social-graph-service,GetFollowers,6.86
16382,0,"('social-graph-service',)",a1.large,social-graph-service,GetFollowers,5.329
16382,1,"('social-graph-service',)",a1.large,social-graph-service,GetFollowers,6.486
16382,2,"('social-graph-service',)",a1.large,social-graph-service,GetFollowers,6.855
11,1,"('url-shorten-service',)",t3.micro,url-shorten-service,UploadUrls,0.2311
8,0,"('media-service',)",t3.micro,media-service,UploadMedia,13.1752
8,1,"('media-service',)",t3.micro,media-service,UploadMedia,6.1811
8,2,"('media-service',)",t3.micro,media-service,UploadMedia,11.6357
5,0,"('user-timeline-service',)",t3.micro,user-timeline-service,ReadUserTimeline,0
5,0,"('user-timeline-service',)",t3.micro,user-timeline-service,WriteUserTimeline,4.7122
5,1,"('user-timeline-service',)",t3.micro,user-timeline-service,ReadUserTimeline,0
5,1,"('user-timeline-service',)",t3.micro,user-timeline-service,WriteUserTimeline,7.104
5,2,"('user-timeline-service',)",t3.micro,user-timeline-service,ReadUserTimeline,0
5,2,"('user-timeline-service',)",t3.micro,user-timeline-service,WriteUserTimeline,5.5556
10,0,"('unique-id-service',)",t3.micro,unique-id-service,UploadUniqueId,12.3256
10,1,"('unique-id-service',)",t3.micro,unique-id-service,UploadUniqueId,12.5087
10,2,"('unique-id-service',)",t3.micro,unique-id-service,UploadUniqueId,12.0196
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadUserMentions,10.4998
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadUrls,10.9701
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadUniqueId,11.8504
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadCreator,11.6269
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadText,7.1301
3,0,"('compose-post-service',)",t3.micro,compose-post-service,UploadMedia,11.8548
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadUserMentions,6.747
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadUrls,8.8966
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadUniqueId,10.1314
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadCreator,9.9662
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadText,5.2198
3,1,"('compose-post-service',)",t3.micro,compose-post-service,UploadMedia,10.1526
3,2,"('compose-post-service',)",t3.micro,compose-post-service,UploadUniqueId,14.3961
3,2,"('compose-post-service',)",t3.micro,compose-post-service,UploadCreator,9.1617
3,2,"('compose-post-service',)",t3.micro,compose-post-service,UploadText,17.2057
3,2,"('compose-post-service',)",t3.micro,compose-post-service,UploadMedia,9.5729
4,0,"('post-storage-service',)",t3.micro,post-storage-service,StorePost,0.0999
4,1,"('post-storage-service',)",t3.micro,post-storage-service,StorePost,0.1362
4,2,"('post-storage-service',)",t3.micro,post-storage-service,StorePost,0.144
1,1,"('user-service',)",t3.micro,user-service,UploadUserWithUserId,0.1472
1,2,"('user-service',)",t3.micro,user-service,UploadUserWithUserId,0.144
11,2,"('url-shorten-service',)",t3.micro,url-shorten-service,UploadUrls,0.3136
9,0,"('text-service',)",t3.micro,text-service,UploadText,123.586
9,1,"('text-service',)",t3.micro,text-service,UploadText,111.0899
9,2,"('text-service',)",t3.micro,text-service,UploadText,129.1019
12,0,"('user-mention-service',)",t3.micro,user-mention-service,UploadUserMentions,6.7568
12,1,"('user-mention-service',)",t3.micro,user-mention-service,UploadUserMentions,6.5152
12,2,"('user-mention-service',)",t3.micro,user-mention-service,UploadUserMentions,7.4468
4106,1,"('url-shorten-service',)",t3.small,url-shorten-service,UploadUrls,0.3352
4106,2,"('url-shorten-service',)",t3.small,url-shorten-service,UploadUrls,0.2277
4103,0,"('media-service',)",t3.small,media-service,UploadMedia,7.3698
4103,1,"('media-service',)",t3.small,media-service,UploadMedia,8.259
4103,2,"('media-service',)",t3.small,media-service,UploadMedia,8.0208
4100,0,"('user-timeline-service',)",t3.small,user-timeline-service,ReadUserTimeline,0
4100,0,"('user-timeline-service',)",t3.small,user-timeline-service,WriteUserTimeline,12.6588
4100,1,"('user-timeline-service',)",t3.small,user-timeline-service,ReadUserTimeline,0
4100,1,"('user-timeline-service',)",t3.small,user-timeline-service,WriteUserTimeline,5.1046
4100,2,"('user-timeline-service',)",t3.small,user-timeline-service,ReadUserTimeline,0
4100,2,"('user-timeline-service',)",t3.small,user-timeline-service,WriteUserTimeline,5.284
4105,0,"('unique-id-service',)",t3.small,unique-id-service,UploadUniqueId,8.1376
4105,1,"('unique-id-service',)",t3.small,unique-id-service,UploadUniqueId,9.6297
4105,2,"('unique-id-service',)",t3.small,unique-id-service,UploadUniqueId,9.5154
4098,0,"('compose-post-service',)",t3.small,compose-post-service,UploadUniqueId,19.6562
4098,0,"('compose-post-service',)",t3.small,compose-post-service,UploadUserMentions,26.8533
4098,0,"('compose-post-service',)",t3.small,compose-post-service,UploadUrls,14.3556
4098,0,"('compose-post-service',)",t3.small,compose-post-service,UploadText,30.8906
4098,0,"('compose-post-service',)",t3.small,compose-post-service,UploadMedia,20.2291
4098,1,"('compose-post-service',)",t3.small,compose-post-service,UploadUniqueId,28.8828
4098,1,"('compose-post-service',)",t3.small,compose-post-service,UploadUserMentions,17.0107
4098,1,"('compose-post-service',)",t3.small,compose-post-service,UploadUrls,17.3924
4098,1,"('compose-post-service',)",t3.small,compose-post-service,UploadText,51.2886
4098,1,"('compose-post-service',)",t3.small,compose-post-service,UploadMedia,15.5763
4098,2,"('compose-post-service',)",t3.small,compose-post-service,UploadUniqueId,17.3171
4098,2,"('compose-post-service',)",t3.small,compose-post-service,UploadUserMentions,24.2394
4098,2,"('compose-post-service',)",t3.small,compose-post-service,UploadUrls,23.7868
4098,2,"('compose-post-service',)",t3.small,compose-post-service,UploadText,18.7012
4099,0,"('post-storage-service',)",t3.small,post-storage-service,StorePost,0.1468
4099,1,"('post-storage-service',)",t3.small,post-storage-service,StorePost,0.1073
4099,2,"('post-storage-service',)",t3.small,post-storage-service,StorePost,0.1117
4096,1,"('user-service',)",t3.small,user-service,UploadUserWithUserId,0.2952
4096,2,"('user-service',)",t3.small,user-service,UploadUserWithUserId,0.102
4104,0,"('text-service',)",t3.small,text-service,UploadText,5736.4539
4104,1,"('text-service',)",t3.small,text-service,UploadText,917.682
4104,2,"('text-service',)",t3.small,text-service,UploadText,198.8343
4107,0,"('user-mention-service',)",t3.small,user-mention-service,UploadUserMentions,4.1621
4107,1,"('user-mention-service',)",t3.small,user-mention-service,UploadUserMentions,9.395
4107,2,"('user-mention-service',)",t3.small,user-mention-service,UploadUserMentions,2.9604
8201,1,"('url-shorten-service',)",a1.medium,url-shorten-service,UploadUrls,0.3781
8201,2,"('url-shorten-service',)",a1.medium,url-shorten-service,UploadUrls,0.39
8198,0,"('media-service',)",a1.medium,media-service,UploadMedia,13.0266
8198,1,"('media-service',)",a1.medium,media-service,UploadMedia,8.4127
8198,2,"('media-service',)",a1.medium,media-service,UploadMedia,3.0309
8195,0,"('user-timeline-service',)",a1.medium,user-timeline-service,ReadUserTimeline,0
8195,0,"('user-timeline-service',)",a1.medium,user-timeline-service,WriteUserTimeline,15.9572
8195,1,"('user-timeline-service',)",a1.medium,user-timeline-service,ReadUserTimeline,0
8195,1,"('user-timeline-service',)",a1.medium,user-timeline-service,WriteUserTimeline,32.7338
8195,2,"('user-timeline-service',)",a1.medium,user-timeline-service,ReadUserTimeline,0
8195,2,"('user-timeline-service',)",a1.medium,user-timeline-service,WriteUserTimeline,15.2842
8200,0,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,12.6903
8200,1,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,14.2329
8200,2,"('unique-id-service',)",a1.medium,unique-id-service,UploadUniqueId,13.5756
8197,0,"('home-timeline-service',)",a1.medium,home-timeline-service,ReadHomeTimeline,39.8818
8197,1,"('home-timeline-service',)",a1.medium,home-timeline-service,ReadHomeTimeline,33.7467
8197,2,"('home-timeline-service',)",a1.medium,home-timeline-service,ReadHomeTimeline,39.0701
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadUserMentions,15.6872
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadUrls,16.0243
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadUniqueId,19.0447
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadCreator,20.5744
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadText,9.8422
8193,0,"('compose-post-service',)",a1.medium,compose-post-service,UploadMedia,18.3483
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadUserMentions,12.6372
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadUrls,15.5355
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadUniqueId,17.2585
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadCreator,17.1844
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadText,9.0833
8193,1,"('compose-post-service',)",a1.medium,compose-post-service,UploadMedia,18.575
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadUserMentions,13.5098
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadUrls,15.9642
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadUniqueId,19.2598
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadCreator,19.6323
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadText,9.7316
8193,2,"('compose-post-service',)",a1.medium,compose-post-service,UploadMedia,20.713
8194,0,"('post-storage-service',)",a1.medium,post-storage-service,StorePost,0.194
8194,1,"('post-storage-service',)",a1.medium,post-storage-service,StorePost,0.2875
8194,2,"('post-storage-service',)",a1.medium,post-storage-service,StorePost,0.2067
8191,1,"('user-service',)",a1.medium,user-service,UploadUserWithUserId,0.389
8191,2,"('user-service',)",a1.medium,user-service,UploadUserWithUserId,0.2938
8199,0,"('text-service',)",a1.medium,text-service,UploadText,36.5345
8199,1,"('text-service',)",a1.medium,text-service,UploadText,56.1593
8199,2,"('text-service',)",a1.medium,text-service,UploadText,49.4248
8202,0,"('user-mention-service',)",a1.medium,user-mention-service,UploadUserMentions,19.6722
8202,1,"('user-mention-service',)",a1.medium,user-mention-service,UploadUserMentions,20.8206
8202,2,"('user-mention-service',)",a1.medium,user-mention-service,UploadUserMentions,21.0886
12296,1,"('url-shorten-service',)",M6.medium,url-shorten-service,UploadUrls,1.3608
12296,2,"('url-shorten-service',)",M6.medium,url-shorten-service,UploadUrls,0.5627
12293,0,"('media-service',)",M6.medium,media-service,UploadMedia,12.0486
12293,1,"('media-service',)",M6.medium,media-service,UploadMedia,14.6038
12293,2,"('media-service',)",M6.medium,media-service,UploadMedia,10.771
12290,0,"('user-timeline-service',)",M6.medium,user-timeline-service,ReadUserTimeline,0
12290,0,"('user-timeline-service',)",M6.medium,user-timeline-service,WriteUserTimeline,6.6763
12290,1,"('user-timeline-service',)",M6.medium,user-timeline-service,ReadUserTimeline,0
12290,1,"('user-timeline-service',)",M6.medium,user-timeline-service,WriteUserTimeline,6.1387
12290,2,"('user-timeline-service',)",M6.medium,user-timeline-service,ReadUserTimeline,0
12290,2,"('user-timeline-service',)",M6.medium,user-timeline-service,WriteUserTimeline,6.6088
12295,0,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,12.1992
12295,1,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,15.8395
12295,2,"('unique-id-service',)",M6.medium,unique-id-service,UploadUniqueId,17.4015
12292,0,"('home-timeline-service',)",M6.medium,home-timeline-service,ReadHomeTimeline,47.2208
12292,1,"('home-timeline-service',)",M6.medium,home-timeline-service,ReadHomeTimeline,29.419
12292,2,"('home-timeline-service',)",M6.medium,home-timeline-service,ReadHomeTimeline,36.8997
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadUserMentions,11.0102
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadUrls,13.6938
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadUniqueId,15.2861
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadCreator,15.2205
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadText,8.887
12288,0,"('compose-post-service',)",M6.medium,compose-post-service,UploadMedia,16.362
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadUserMentions,9.9633
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadUrls,14.3133
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadUniqueId,14.8237
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadCreator,15.6256
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadText,8.0969
12288,1,"('compose-post-service',)",M6.medium,compose-post-service,UploadMedia,15.7207
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadUserMentions,10.0515
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadUrls,14.5218
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadUniqueId,13.5286
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadCreator,14.4927
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadText,8.4159
12288,2,"('compose-post-service',)",M6.medium,compose-post-service,UploadMedia,14.0674
12289,0,"('post-storage-service',)",M6.medium,post-storage-service,StorePost,0.2111
12289,1,"('post-storage-service',)",M6.medium,post-storage-service,StorePost,0.1281
12289,2,"('post-storage-service',)",M6.medium,post-storage-service,StorePost,0.2304
12286,1,"('user-service',)",M6.medium,user-service,UploadUserWithUserId,0.176
12286,2,"('user-service',)",M6.medium,user-service,UploadUserWithUserId,0.1522
12297,0,"('user-mention-service',)",M6.medium,user-mention-service,UploadUserMentions,13.6475
12297,1,"('user-mention-service',)",M6.medium,user-mention-service,UploadUserMentions,18.2834
12297,2,"('user-mention-service',)",M6.medium,user-mention-service,UploadUserMentions,12.6857
16391,1,"('url-shorten-service',)",a1.large,url-shorten-service,UploadUrls,0.6491
16391,2,"('url-shorten-service',)",a1.large,url-shorten-service,UploadUrls,0.3373
16388,0,"('media-service',)",a1.large,media-service,UploadMedia,12.866
16388,1,"('media-service',)",a1.large,media-service,UploadMedia,11.3406
16388,2,"('media-service',)",a1.large,media-service,UploadMedia,12.7815
16390,0,"('unique-id-service',)",a1.large,unique-id-service,UploadUniqueId,11.8633
