exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
11,0,"('url-shorten-service',)",t3.micro,239.08,48.53,22.17,443869525.33,475077802.67,1081344.0,4.0,0.0,0.31,0.7,0.7
4106,0,"('url-shorten-service',)",t3.small,239.29,50.87,23.89,1407466325.33,1403822762.67,2662400.0,4.21,0.0,0.32,0.57,0.57
24581,0,"('url-shorten-service',)",t3.large,240.01,50.8,24.11,7456915456.0,2363950250.67,2662400.0,4.17,0.0,0.47,0.88,0.88
8201,0,"('url-shorten-service',)",a1.medium,187.81,85.14,36.81,1402328576.0,1402405888.0,2662400.0,3.46,0.0,1.19,1.36,1.36
16391,0,"('url-shorten-service',)",a1.large,247.28,51.63,22.01,3277284864.0,2364501162.67,2662400.0,4.17,0.0,0.3,0.7,0.7
28676,0,"('url-shorten-service',)",a1.xlarge,276.01,30.54,14.74,7445259605.33,2364122624.0,2662400.0,6.04,0.0,0.38,0.57,0.57
36866,0,"('url-shorten-service',)",a1.2xlarge,299.77,16.67,8.8,15784394581.33,2362340864.0,2662400.0,5.96,0.0,0.26,0.43,0.43
12296,0,"('url-shorten-service',)",M6.medium,186.26,86.96,34.32,3337201152.0,2313512448.0,2662400.0,3.46,0.0,0.76,1.12,1.12
20486,0,"('url-shorten-service',)",M6.large,233.91,53.12,24.49,7451715754.67,2364309845.33,2662400.0,4.33,0.0,0.46,0.71,0.71
32771,0,"('url-shorten-service',)",M6.xlarge,275.9,29.61,14.55,15803098334.61,2364232392.35,2662400.0,5.29,0.0,0.23,0.4,0.4
40961,0,"('url-shorten-service',)",M6.2xlarge,306.7,15.0,7.72,32542282410.67,2367030272.0,2662400.0,7.25,0.04,0.18,0.52,0.52
1,0,"('user-service',)",t3.micro,241.3,48.63,22.85,438268416.0,470083925.33,1081344.0,4.42,0.0,0.33,0.66,0.65
4096,0,"('user-service',)",t3.small,241.98,49.28,22.45,1406881109.33,1398011392.0,2662400.0,4.21,0.04,0.29,0.61,0.61
24571,0,"('user-service',)",t3.large,248.85,49.36,22.77,7448990890.67,2364353024.0,2662400.0,4.17,0.0,0.37,0.72,0.72
8191,0,"('user-service',)",a1.medium,179.01,90.01,39.68,1410976597.33,1394616832.0,2662400.0,3.58,0.0,2.02,1.57,1.57
16381,0,"('user-service',)",a1.large,234.64,54.57,24.36,3279939925.33,2364088832.0,2662400.0,4.04,0.0,0.36,0.67,0.67
28666,0,"('user-service',)",a1.xlarge,277.51,31.32,16.2,7440267093.33,2364926464.0,2662400.0,5.46,0.0,0.25,0.56,0.56
36856,0,"('user-service',)",a1.2xlarge,316.08,16.34,8.41,15767466325.33,2364661077.33,2662400.0,6.67,0.0,0.43,0.67,0.67
12286,0,"('user-service',)",M6.medium,180.59,88.81,41.0,3309341525.33,2313869141.33,2662400.0,3.54,0.04,0.7,1.33,1.33
20476,0,"('user-service',)",M6.large,232.7,53.49,25.05,7437158570.67,2361233237.33,2662400.0,4.58,0.0,0.51,0.77,0.77
32761,0,"('user-service',)",M6.xlarge,284.25,28.22,13.56,15810893141.33,2364132181.33,2662400.0,6.04,0.0,0.29,0.54,0.54
40951,0,"('user-service',)",M6.2xlarge,314.61,15.96,9.49,32524876117.33,2364408490.67,2662400.0,7.25,0.0,0.59,0.71,0.71
22,0,"('user-service', 'url-shorten-service')",t3.micro,233.2,54.33,25.77,397288789.33,431991978.67,501418.67,4.63,0.0,0.39,0.85,0.85
4117,0,"('user-service', 'url-shorten-service')",t3.small,242.96,52.52,24.36,1346771968.0,1352591530.67,2662400.0,6.17,0.0,0.45,0.71,0.71
24592,0,"('user-service', 'url-shorten-service')",t3.large,247.31,50.37,22.71,7400683008.0,2365043712.0,2662400.0,4.39,0.0,0.31,0.63,0.63
8212,0,"('user-service', 'url-shorten-service')",a1.medium,183.5,93.58,39.59,1354314752.0,1359487658.67,2662400.0,3.75,0.0,0.73,1.24,1.24
16402,0,"('user-service', 'url-shorten-service')",a1.large,241.22,55.8,24.93,3214298794.67,2365550421.33,2662400.0,4.67,0.0,0.45,0.65,0.65
28687,0,"('user-service', 'url-shorten-service')",a1.xlarge,284.98,32.46,15.58,7379435690.67,2370944170.67,2662400.0,5.25,0.0,0.24,0.36,0.36
