exp_id,service_combination,vm_type,service_name,API_name,performance_value(ms)
1,"('payment',)",t3.micro,payment,Authorise,0
187,"('payment',)",t3.large,payment,Authorise,0
63,"('payment',)",a1.medium,payment,Authorise,0.0
94,"('payment',)",M6.medium,payment,Authorise,0.0
156,"('payment',)",M6.large,payment,Authorise,0.0
249,"('payment',)",M6.xlarge,payment,Authorise,0
311,"('payment',)",M6.2xlarge,payment,Authorise,0
125,"('payment',)",a1.large,payment,Authorise,0
218,"('payment',)",a1.xlarge,payment,Authorise,0
280,"('payment',)",a1.2xlarge,payment,Authorise,0.0
159,"('user',)",M6.large,user,GetUsers,0
159,"('user',)",M6.large,user,Login,0.0
159,"('user',)",M6.large,user,GetAddresses,0.0
252,"('user',)",M6.xlarge,user,GetUsers,0
252,"('user',)",M6.xlarge,user,Login,0.0
252,"('user',)",M6.xlarge,user,GetAddresses,0.0
314,"('user',)",M6.2xlarge,user,GetUsers,0
314,"('user',)",M6.2xlarge,user,Login,0.0
314,"('user',)",M6.2xlarge,user,GetAddresses,0.0
190,"('user',)",t3.large,user,GetUsers,0
190,"('user',)",t3.large,user,Login,0.0
190,"('user',)",t3.large,user,GetAddresses,0.0
128,"('user',)",a1.large,user,GetUsers,0
128,"('user',)",a1.large,user,Login,0.0
128,"('user',)",a1.large,user,GetAddresses,0.0
4,"('user',)",t3.micro,user,GetAddresses,0.0
4,"('user',)",t3.micro,user,Login,0.0
4,"('user',)",t3.micro,user,GetUsers,0
35,"('user',)",t3.small,user,GetUsers,0
35,"('user',)",t3.small,user,Login,0.0
35,"('user',)",t3.small,user,GetAddresses,0.0
66,"('user',)",a1.medium,user,GetUsers,0
66,"('user',)",a1.medium,user,Login,0.0
66,"('user',)",a1.medium,user,GetAddresses,0.0
97,"('user',)",M6.medium,user,GetUsers,0
97,"('user',)",M6.medium,user,Login,0.0
97,"('user',)",M6.medium,user,GetAddresses,0.0
221,"('user',)",a1.xlarge,user,GetAddresses,0.0
221,"('user',)",a1.xlarge,user,Login,0
221,"('user',)",a1.xlarge,user,GetUsers,0
283,"('user',)",a1.2xlarge,user,GetUsers,0
283,"('user',)",a1.2xlarge,user,Login,0.0
283,"('user',)",a1.2xlarge,user,GetAddresses,0.0
191,"('catalogue',)",t3.large,catalogue,List,0
191,"('catalogue',)",t3.large,catalogue,Get,0
253,"('catalogue',)",M6.xlarge,catalogue,List,0.0
253,"('catalogue',)",M6.xlarge,catalogue,Get,0.0
160,"('catalogue',)",M6.large,catalogue,List,0
160,"('catalogue',)",M6.large,catalogue,Get,0.0
129,"('catalogue',)",a1.large,catalogue,List,0
129,"('catalogue',)",a1.large,catalogue,Get,0.0
315,"('catalogue',)",M6.2xlarge,catalogue,List,0
315,"('catalogue',)",M6.2xlarge,catalogue,Get,0.0
67,"('catalogue',)",a1.medium,catalogue,List,0
67,"('catalogue',)",a1.medium,catalogue,Get,0
98,"('catalogue',)",M6.medium,catalogue,List,0.0
98,"('catalogue',)",M6.medium,catalogue,Get,0.0
5,"('catalogue',)",t3.micro,catalogue,List,0.0
5,"('catalogue',)",t3.micro,catalogue,Get,0.0
284,"('catalogue',)",a1.2xlarge,catalogue,List,0.0
284,"('catalogue',)",a1.2xlarge,catalogue,Get,0.0
222,"('catalogue',)",a1.xlarge,catalogue,List,0
222,"('catalogue',)",a1.xlarge,catalogue,Get,0.0
2,"('carts',)",t3.micro,carts,get_cart,19.352
2,"('carts',)",t3.micro,carts,merge,18.4818
2,"('carts',)",t3.micro,carts,addToCart,25.99
2,"('carts',)",t3.micro,carts,delete,18.2349
33,"('carts',)",t3.small,carts,get_cart,10.7236
33,"('carts',)",t3.small,carts,merge,25.287
33,"('carts',)",t3.small,carts,addToCart,24.7734
33,"('carts',)",t3.small,carts,delete,12.313
95,"('carts',)",M6.medium,carts,get_cart,15.7814
95,"('carts',)",M6.medium,carts,merge,36.546
95,"('carts',)",M6.medium,carts,addToCart,41.3153
95,"('carts',)",M6.medium,carts,delete,17.834
157,"('carts',)",M6.large,carts,get_cart,10.8534
157,"('carts',)",M6.large,carts,merge,25.9045
157,"('carts',)",M6.large,carts,addToCart,24.2831
157,"('carts',)",M6.large,carts,delete,12.5042
250,"('carts',)",M6.xlarge,carts,get_cart,10.826
250,"('carts',)",M6.xlarge,carts,merge,21.617
250,"('carts',)",M6.xlarge,carts,addToCart,21.054
250,"('carts',)",M6.xlarge,carts,delete,11.1917
312,"('carts',)",M6.2xlarge,carts,get_cart,6.2463
312,"('carts',)",M6.2xlarge,carts,merge,13.194
312,"('carts',)",M6.2xlarge,carts,addToCart,14.2485
312,"('carts',)",M6.2xlarge,carts,delete,6.284
188,"('carts',)",t3.large,carts,get_cart,10.8784
188,"('carts',)",t3.large,carts,merge,21.996
188,"('carts',)",t3.large,carts,addToCart,23.5661
188,"('carts',)",t3.large,carts,delete,14.122
64,"('carts',)",a1.medium,carts,get_cart,17.022
64,"('carts',)",a1.medium,carts,merge,33.149
64,"('carts',)",a1.medium,carts,addToCart,42.2642
64,"('carts',)",a1.medium,carts,delete,18.8599
126,"('carts',)",a1.large,carts,get_cart,11.7764
126,"('carts',)",a1.large,carts,merge,24.378
126,"('carts',)",a1.large,carts,addToCart,24.0607
126,"('carts',)",a1.large,carts,delete,12.998
219,"('carts',)",a1.xlarge,carts,get_cart,11.7247
219,"('carts',)",a1.xlarge,carts,merge,24.1548
219,"('carts',)",a1.xlarge,carts,addToCart,24.7081
219,"('carts',)",a1.xlarge,carts,delete,12.8694
281,"('carts',)",a1.2xlarge,carts,get_cart,10.8104
281,"('carts',)",a1.2xlarge,carts,merge,21.469
281,"('carts',)",a1.2xlarge,carts,addToCart,24.1397
281,"('carts',)",a1.2xlarge,carts,delete,11.7922
9,"('payment', 'catalogue')",t3.micro,payment,Authorise,0
9,"('payment', 'catalogue')",t3.micro,catalogue,List,0
9,"('payment', 'catalogue')",t3.micro,catalogue,Get,0.0
71,"('payment', 'catalogue')",a1.medium,payment,Authorise,0.0
71,"('payment', 'catalogue')",a1.medium,catalogue,List,0
71,"('payment', 'catalogue')",a1.medium,catalogue,Get,0
164,"('payment', 'catalogue')",M6.large,payment,Authorise,0
164,"('payment', 'catalogue')",M6.large,catalogue,List,0.0
164,"('payment', 'catalogue')",M6.large,catalogue,Get,0
6,"('payment', 'carts')",t3.micro,payment,Authorise,0.0
6,"('payment', 'carts')",t3.micro,carts,get_cart,13.7706
6,"('payment', 'carts')",t3.micro,carts,merge,25.782
6,"('payment', 'carts')",t3.micro,carts,addToCart,31.734
6,"('payment', 'carts')",t3.micro,carts,delete,14.2824
37,"('payment', 'carts')",t3.small,payment,Authorise,0
37,"('payment', 'carts')",t3.small,carts,get_cart,12.1465
37,"('payment', 'carts')",t3.small,carts,merge,28.131
37,"('payment', 'carts')",t3.small,carts,addToCart,27.4643
37,"('payment', 'carts')",t3.small,carts,delete,14.5005
192,"('payment', 'carts')",t3.large,payment,Authorise,0.0
192,"('payment', 'carts')",t3.large,carts,get_cart,11.2183
192,"('payment', 'carts')",t3.large,carts,merge,26.153
192,"('payment', 'carts')",t3.large,carts,addToCart,24.9819
192,"('payment', 'carts')",t3.large,carts,delete,12.597
99,"('payment', 'carts')",M6.medium,payment,Authorise,0.0
99,"('payment', 'carts')",M6.medium,carts,get_cart,15.7453
99,"('payment', 'carts')",M6.medium,carts,merge,36.45
99,"('payment', 'carts')",M6.medium,carts,addToCart,40.041
99,"('payment', 'carts')",M6.medium,carts,delete,18.6031
161,"('payment', 'carts')",M6.large,payment,Authorise,0
161,"('payment', 'carts')",M6.large,carts,get_cart,12.703
161,"('payment', 'carts')",M6.large,carts,merge,23.888
161,"('payment', 'carts')",M6.large,carts,addToCart,29.4271
161,"('payment', 'carts')",M6.large,carts,delete,14.6943
254,"('payment', 'carts')",M6.xlarge,payment,Authorise,0.0
254,"('payment', 'carts')",M6.xlarge,carts,get_cart,10.3697
254,"('payment', 'carts')",M6.xlarge,carts,merge,21.0141
254,"('payment', 'carts')",M6.xlarge,carts,addToCart,22.0584
254,"('payment', 'carts')",M6.xlarge,carts,delete,11.9049
316,"('payment', 'carts')",M6.2xlarge,payment,Authorise,0
316,"('payment', 'carts')",M6.2xlarge,carts,get_cart,8.8661
316,"('payment', 'carts')",M6.2xlarge,carts,merge,22.0498
316,"('payment', 'carts')",M6.2xlarge,carts,addToCart,20.3429
