exp_id,index,service_combination,vm_type,service_name,API_name,performance_value(ms)
255,0,"('payment',)",a1.medium,payment,Authorise,0.0
255,1,"('payment',)",a1.medium,payment,Authorise,0.0
255,2,"('payment',)",a1.medium,payment,Authorise,0.0
256,0,"('carts',)",a1.medium,carts,get_cart,30.6074
256,0,"('carts',)",a1.medium,carts,updateItem,0.0958
256,0,"('carts',)",a1.medium,carts,getItems,129.0981
256,0,"('carts',)",a1.medium,carts,merge,38.9423
256,0,"('carts',)",a1.medium,carts,addToCart,67.3533
256,0,"('carts',)",a1.medium,carts,get_item,25821.093
256,0,"('carts',)",a1.medium,carts,delete,26.6602
383,0,"('carts',)",M6.medium,carts,get_cart,30.4484
383,0,"('carts',)",M6.medium,carts,updateItem,0.0598
383,0,"('carts',)",M6.medium,carts,getItems,129.796
383,0,"('carts',)",M6.medium,carts,merge,49.3903
383,0,"('carts',)",M6.medium,carts,addToCart,79.365
383,0,"('carts',)",M6.medium,carts,get_item,25357.5349
383,0,"('carts',)",M6.medium,carts,delete,28.29
637,0,"('carts',)",a1.large,carts,get_cart,12.6509
637,0,"('carts',)",a1.large,carts,updateItem,0.096
637,0,"('carts',)",a1.large,carts,getItems,57.9769
637,0,"('carts',)",a1.large,carts,merge,20.9619
637,0,"('carts',)",a1.large,carts,addToCart,28.5578
637,0,"('carts',)",a1.large,carts,get_item,12594.2863
637,0,"('carts',)",a1.large,carts,delete,13.322
637,1,"('carts',)",a1.large,carts,get_cart,12.0245
637,1,"('carts',)",a1.large,carts,updateItem,0.096
637,1,"('carts',)",a1.large,carts,getItems,120.183
637,1,"('carts',)",a1.large,carts,merge,23.541
637,1,"('carts',)",a1.large,carts,addToCart,29.6428
637,1,"('carts',)",a1.large,carts,get_item,9937.6035
637,1,"('carts',)",a1.large,carts,delete,13.6019
637,2,"('carts',)",a1.large,carts,get_cart,17.0427
637,2,"('carts',)",a1.large,carts,updateItem,0.1081
637,2,"('carts',)",a1.large,carts,getItems,42.1026
637,2,"('carts',)",a1.large,carts,merge,28.2526
637,2,"('carts',)",a1.large,carts,addToCart,42.779
637,2,"('carts',)",a1.large,carts,get_item,14910.3763
637,2,"('carts',)",a1.large,carts,delete,17.7639
764,0,"('carts',)",M6.large,carts,get_cart,12.4297
764,0,"('carts',)",M6.large,carts,updateItem,0.0774
764,0,"('carts',)",M6.large,carts,getItems,69.0229
764,0,"('carts',)",M6.large,carts,merge,30.318
764,0,"('carts',)",M6.large,carts,addToCart,31.889
764,0,"('carts',)",M6.large,carts,get_item,14140.9178
764,0,"('carts',)",M6.large,carts,delete,14.1404
764,1,"('carts',)",M6.large,carts,get_cart,11.9549
764,1,"('carts',)",M6.large,carts,updateItem,0.1354
764,1,"('carts',)",M6.large,carts,getItems,59.1973
764,1,"('carts',)",M6.large,carts,merge,25.4099
764,1,"('carts',)",M6.large,carts,addToCart,29.9472
764,1,"('carts',)",M6.large,carts,get_item,11654.5708
764,1,"('carts',)",M6.large,carts,delete,13.1613
764,2,"('carts',)",M6.large,carts,get_cart,13.8438
764,2,"('carts',)",M6.large,carts,updateItem,0.1453
764,2,"('carts',)",M6.large,carts,getItems,107.8206
764,2,"('carts',)",M6.large,carts,merge,32.3449
764,2,"('carts',)",M6.large,carts,addToCart,36.5457
764,2,"('carts',)",M6.large,carts,get_item,13577.649
764,2,"('carts',)",M6.large,carts,delete,15.8252
1018,0,"('carts',)",a1.xlarge,carts,get_cart,9.3101
1018,0,"('carts',)",a1.xlarge,carts,updateItem,0.1761
1018,0,"('carts',)",a1.xlarge,carts,getItems,55.6171
1018,0,"('carts',)",a1.xlarge,carts,merge,22.868
1018,0,"('carts',)",a1.xlarge,carts,addToCart,22.8651
1018,0,"('carts',)",a1.xlarge,carts,get_item,5894.3934
1018,0,"('carts',)",a1.xlarge,carts,delete,11.7487
1018,1,"('carts',)",a1.xlarge,carts,get_cart,11.7881
1018,1,"('carts',)",a1.xlarge,carts,updateItem,0.1014
1018,1,"('carts',)",a1.xlarge,carts,getItems,54.0917
1018,1,"('carts',)",a1.xlarge,carts,merge,24.2659
1018,1,"('carts',)",a1.xlarge,carts,addToCart,28.1875
1018,1,"('carts',)",a1.xlarge,carts,get_item,9244.3886
1018,1,"('carts',)",a1.xlarge,carts,delete,12.9289
1018,2,"('carts',)",a1.xlarge,carts,get_cart,14.632
1018,2,"('carts',)",a1.xlarge,carts,updateItem,0.2328
1018,2,"('carts',)",a1.xlarge,carts,getItems,79.5811
1018,2,"('carts',)",a1.xlarge,carts,merge,25.4175
1018,2,"('carts',)",a1.xlarge,carts,addToCart,31.932
1018,2,"('carts',)",a1.xlarge,carts,get_item,10796.4114
1018,2,"('carts',)",a1.xlarge,carts,delete,14.3454
257,0,"('orders',)",a1.medium,orders,newOrder,170.8929
384,0,"('orders',)",M6.medium,orders,newOrder,277.3867
638,0,"('orders',)",a1.large,orders,newOrder,85.134
765,0,"('orders',)",M6.large,orders,newOrder,56.388
1019,0,"('orders',)",a1.xlarge,orders,newOrder,55.5462
3,0,"('orders',)",t3.micro,orders,newOrder,66.4499
130,0,"('orders',)",t3.small,orders,newOrder,80.6711
1146,0,"('orders',)",M6.xlarge,orders,newOrder,49.868
1146,1,"('orders',)",M6.xlarge,orders,newOrder,46.3312
1146,2,"('orders',)",M6.xlarge,orders,newOrder,63.5075
892,0,"('orders',)",t3.large,orders,newOrder,127.6268
1273,0,"('orders',)",a1.2xlarge,orders,newOrder,11.7122
1273,1,"('orders',)",a1.2xlarge,orders,newOrder,15.3586
1273,2,"('orders',)",a1.2xlarge,orders,newOrder,36.3327
259,0,"('catalogue',)",a1.medium,catalogue,List,0.0
259,0,"('catalogue',)",a1.medium,catalogue,Get,0.0
259,1,"('catalogue',)",a1.medium,catalogue,List,0.0
259,1,"('catalogue',)",a1.medium,catalogue,Get,0.0
259,2,"('catalogue',)",a1.medium,catalogue,List,0.0
259,2,"('catalogue',)",a1.medium,catalogue,Get,0.0
1024,0,"('payment', 'carts')",a1.xlarge,payment,Authorise,0.0
1024,0,"('payment', 'carts')",a1.xlarge,carts,get_cart,10.3996
1024,0,"('payment', 'carts')",a1.xlarge,carts,updateItem,0.0744
1024,0,"('payment', 'carts')",a1.xlarge,carts,getItems,66.1858
1024,0,"('payment', 'carts')",a1.xlarge,carts,merge,21.0986
1024,0,"('payment', 'carts')",a1.xlarge,carts,addToCart,22.5979
1024,0,"('payment', 'carts')",a1.xlarge,carts,get_item,6827.2267
1024,0,"('payment', 'carts')",a1.xlarge,carts,delete,10.9033
1024,1,"('payment', 'carts')",a1.xlarge,payment,Authorise,0.0
1024,1,"('payment', 'carts')",a1.xlarge,carts,get_cart,11.2271
1024,1,"('payment', 'carts')",a1.xlarge,carts,updateItem,0.0787
1024,1,"('payment', 'carts')",a1.xlarge,carts,getItems,53.7832
1024,1,"('payment', 'carts')",a1.xlarge,carts,merge,19.0428
1024,1,"('payment', 'carts')",a1.xlarge,carts,addToCart,25.1682
1024,1,"('payment', 'carts')",a1.xlarge,carts,get_item,9586.4544
1024,1,"('payment', 'carts')",a1.xlarge,carts,delete,11.9313
1024,2,"('payment', 'carts')",a1.xlarge,payment,Authorise,0.0
8,0,"('payment', 'carts')",t3.micro,payment,Authorise,0.0
135,0,"('payment', 'carts')",t3.small,payment,Authorise,0.0001
135,0,"('payment', 'carts')",t3.small,carts,get_cart,17.3013
135,0,"('payment', 'carts')",t3.small,carts,updateItem,0.0796
135,0,"('payment', 'carts')",t3.small,carts,getItems,74.2531
135,0,"('payment', 'carts')",t3.small,carts,merge,33.0255
135,0,"('payment', 'carts')",t3.small,carts,addToCart,38.1852
135,0,"('payment', 'carts')",t3.small,carts,get_item,17547.6631
135,0,"('payment', 'carts')",t3.small,carts,delete,16.8302
1151,0,"('payment', 'carts')",M6.xlarge,payment,Authorise,0.0
1151,0,"('payment', 'carts')",M6.xlarge,carts,get_cart,11.2947
1151,0,"('payment', 'carts')",M6.xlarge,carts,updateItem,0.1185
1151,0,"('payment', 'carts')",M6.xlarge,carts,getItems,92.6282
1151,0,"('payment', 'carts')",M6.xlarge,carts,merge,22.7818
1151,0,"('payment', 'carts')",M6.xlarge,carts,addToCart,27.9067
1151,0,"('payment', 'carts')",M6.xlarge,carts,get_item,8598.7853
1151,0,"('payment', 'carts')",M6.xlarge,carts,delete,13.753
1151,1,"('payment', 'carts')",M6.xlarge,payment,Authorise,0.0
897,0,"('payment', 'carts')",t3.large,payment,Authorise,0.0
897,0,"('payment', 'carts')",t3.large,carts,get_cart,14.3367
897,0,"('payment', 'carts')",t3.large,carts,updateItem,0.0519
897,0,"('payment', 'carts')",t3.large,carts,getItems,73.5766
897,0,"('payment', 'carts')",t3.large,carts,merge,29.1227
897,0,"('payment', 'carts')",t3.large,carts,addToCart,36.6595
897,0,"('payment', 'carts')",t3.large,carts,get_item,9516.0667
897,0,"('payment', 'carts')",t3.large,carts,delete,15.1233
897,1,"('payment', 'carts')",t3.large,payment,Authorise,0.0
897,1,"('payment', 'carts')",t3.large,carts,get_cart,14.1746
897,1,"('payment', 'carts')",t3.large,carts,updateItem,0.0748
897,1,"('payment', 'carts')",t3.large,carts,getItems,135.927
897,1,"('payment', 'carts')",t3.large,carts,merge,26.7419
897,1,"('payment', 'carts')",t3.large,carts,addToCart,31.0575
897,1,"('payment', 'carts')",t3.large,carts,get_item,7724.9279
897,1,"('payment', 'carts')",t3.large,carts,delete,14.8592
897,2,"('payment', 'carts')",t3.large,payment,Authorise,0.0001
897,2,"('payment', 'carts')",t3.large,carts,get_cart,13.3774
897,2,"('payment', 'carts')",t3.large,carts,updateItem,0.0793
897,2,"('payment', 'carts')",t3.large,carts,getItems,72.6227
897,2,"('payment', 'carts')",t3.large,carts,merge,24.6614
897,2,"('payment', 'carts')",t3.large,carts,addToCart,35.673
897,2,"('payment', 'carts')",t3.large,carts,get_item,9610.5011
897,2,"('payment', 'carts')",t3.large,carts,delete,15.828
1279,0,"('payment', 'orders')",a1.2xlarge,payment,Authorise,0.0001
1279,0,"('payment', 'orders')",a1.2xlarge,orders,newOrder,24.5266
1279,1,"('payment', 'orders')",a1.2xlarge,payment,Authorise,0.0001
1279,1,"('payment', 'orders')",a1.2xlarge,orders,newOrder,28.7146
1279,2,"('payment', 'orders')",a1.2xlarge,payment,Authorise,0.0001
1279,2,"('payment', 'orders')",a1.2xlarge,orders,newOrder,29.8797
264,0,"('payment', 'user')",a1.medium,payment,Authorise,0.0
264,0,"('payment', 'user')",a1.medium,user,GetUsers,0.0001
264,0,"('payment', 'user')",a1.medium,user,Login,0.0
264,0,"('payment', 'user')",a1.medium,user,GetAddresses,0.0
264,0,"('payment', 'user')",a1.medium,user,GetCards,0.0
264,1,"('payment', 'user')",a1.medium,user,GetCards,0.0
264,1,"('payment', 'user')",a1.medium,user,Login,0.0
264,1,"('payment', 'user')",a1.medium,user,GetAddresses,0.0
264,1,"('payment', 'user')",a1.medium,user,GetUsers,0.0001
391,0,"('payment', 'user')",M6.medium,payment,Authorise,0.0
391,0,"('payment', 'user')",M6.medium,user,GetUsers,0.0003
391,0,"('payment', 'user')",M6.medium,user,Login,0.0
391,0,"('payment', 'user')",M6.medium,user,GetAddresses,0.0
391,0,"('payment', 'user')",M6.medium,user,GetCards,0.0
391,1,"('payment', 'user')",M6.medium,payment,Authorise,0.0
391,1,"('payment', 'user')",M6.medium,user,GetUsers,0.0003
391,1,"('payment', 'user')",M6.medium,user,Login,0.0
391,1,"('payment', 'user')",M6.medium,user,GetAddresses,0.0
391,1,"('payment', 'user')",M6.medium,user,GetCards,0.0
391,2,"('payment', 'user')",M6.medium,payment,Authorise,0.0
391,2,"('payment', 'user')",M6.medium,user,GetAddresses,0.0
391,2,"('payment', 'user')",M6.medium,user,Login,0.0
391,2,"('payment', 'user')",M6.medium,user,GetUsers,0.0002
391,2,"('payment', 'user')",M6.medium,user,GetCards,0.0
265,0,"('payment', 'catalogue')",a1.medium,payment,Authorise,0.0
265,0,"('payment', 'catalogue')",a1.medium,catalogue,List,0.0
265,0,"('payment', 'catalogue')",a1.medium,catalogue,Get,0.0
265,1,"('payment', 'catalogue')",a1.medium,payment,Authorise,0.0
265,1,"('payment', 'catalogue')",a1.medium,catalogue,List,0.0
265,1,"('payment', 'catalogue')",a1.medium,catalogue,Get,0.0
265,2,"('payment', 'catalogue')",a1.medium,payment,Authorise,0.0
265,2,"('payment', 'catalogue')",a1.medium,catalogue,List,0.0
265,2,"('payment', 'catalogue')",a1.medium,catalogue,Get,0.0
266,0,"('payment', 'shipping')",a1.medium,payment,Authorise,0.0
266,1,"('payment', 'shipping')",a1.medium,payment,Authorise,0.0
266,2,"('payment', 'shipping')",a1.medium,payment,Authorise,0.0
267,0,"('payment', 'front-end')",a1.medium,payment,Authorise,0.0
267,1,"('payment', 'front-end')",a1.medium,payment,Authorise,0.0001
267,2,"('payment', 'front-end')",a1.medium,payment,Authorise,0.0001
1284,0,"('carts', 'orders')",a1.2xlarge,orders,newOrder,35.3174
1411,0,"('carts', 'orders')",M6.2xlarge,orders,newOrder,39.1953
1031,0,"('carts', 'user')",a1.xlarge,user,GetCards,0.0
1031,0,"('carts', 'user')",a1.xlarge,user,Login,0.0
1031,0,"('carts', 'user')",a1.xlarge,user,GetAddresses,0.0001
1031,0,"('carts', 'user')",a1.xlarge,user,GetUsers,0.0001
15,0,"('carts', 'user')",t3.micro,carts,get_cart,23.515
15,0,"('carts', 'user')",t3.micro,carts,updateItem,0.0682
15,0,"('carts', 'user')",t3.micro,carts,getItems,246.7449
15,0,"('carts', 'user')",t3.micro,carts,merge,29.2817
15,0,"('carts', 'user')",t3.micro,carts,addToCart,80.126
15,0,"('carts', 'user')",t3.micro,carts,get_item,15806.5591
15,0,"('carts', 'user')",t3.micro,carts,delete,40.7164
15,0,"('carts', 'user')",t3.micro,user,GetCards,0.0
15,0,"('carts', 'user')",t3.micro,user,Login,0.0
15,0,"('carts', 'user')",t3.micro,user,GetAddresses,0.0
15,0,"('carts', 'user')",t3.micro,user,GetUsers,0.0001
142,0,"('carts', 'user')",t3.small,carts,get_cart,32.3921
142,0,"('carts', 'user')",t3.small,carts,updateItem,0.0718
142,0,"('carts', 'user')",t3.small,carts,getItems,88.3437
142,0,"('carts', 'user')",t3.small,carts,merge,28.5675
142,0,"('carts', 'user')",t3.small,carts,addToCart,78.1016
142,0,"('carts', 'user')",t3.small,carts,get_item,7840.362
142,0,"('carts', 'user')",t3.small,carts,delete,46.4397
142,0,"('carts', 'user')",t3.small,user,GetCards,0.0
