exp_id,index,service_combination,vm_type,cpu_idle,cpu_user,cpu_sys,mem,cache,buffer,procs_running,procs_blocked,load1,load5,load15
1151,0,"('payment', 'carts')",M6.xlarge,981.61,87.53,28.92,15013831680.0,2423308288.0,2662400.0,6.17,0.0,0.68,0.81,0.81
1151,1,"('payment', 'carts')",M6.xlarge,1324.61,116.25,36.49,14994326016.0,2433480704.0,2662400.0,6.04,0.0,0.77,0.76,0.76
255,0,"('payment',)",a1.medium,692.27,100.25,50.05,1473387520.0,1445391189.33,2662400.0,3.29,0.0,1.18,1.07,1.07
255,1,"('payment',)",a1.medium,1014.46,120.91,59.84,1474722645.33,1446647637.33,2662400.0,3.42,0.0,0.24,0.61,0.61
255,2,"('payment',)",a1.medium,1330.8,142.08,69.81,1473982122.67,1448249002.67,2662400.0,4.3,0.0,0.53,0.43,0.43
256,0,"('carts',)",a1.medium,1617.04,198.85,82.36,1318867968.0,1285230080.0,2662400.0,3.63,0.0,0.36,0.48,0.48
383,0,"('carts',)",M6.medium,327.33,95.85,44.59,3282600789.33,1253013333.33,2662400.0,4.25,0.0,0.69,0.73,0.73
637,0,"('carts',)",a1.large,377.43,52.73,23.86,2869384021.33,1313557674.67,2662400.0,5.08,0.04,0.73,0.46,0.47
637,1,"('carts',)",a1.large,696.65,84.39,33.06,2988342442.67,1306119680.0,2662400.0,4.25,0.0,0.8,0.66,0.66
637,2,"('carts',)",a1.large,1010.23,115.92,43.03,2865878186.67,1315122176.0,2662400.0,4.71,0.0,0.31,0.34,0.34
764,0,"('carts',)",M6.large,280.7,51.42,20.98,7014297041.45,1302767616.0,2662400.0,4.91,0.0,1.33,1.05,1.05
764,0,"('carts',)",M6.large,589.46,80.84,28.53,6986776234.67,1296979626.67,2662400.0,4.92,0.0,0.59,0.68,0.68
764,1,"('carts',)",M6.large,902.54,111.17,35.86,6979973120.0,1297196714.67,2662400.0,4.67,0.0,0.18,0.37,0.37
764,2,"('carts',)",M6.large,1219.67,142.37,43.3,7085165738.67,1297406464.0,2662400.0,3.96,0.0,0.42,0.35,0.35
1018,0,"('carts',)",a1.xlarge,327.97,31.49,12.09,6969965738.67,1304296448.0,2662400.0,5.96,0.0,0.69,0.52,0.52
1018,1,"('carts',)",a1.xlarge,651.81,54.77,17.49,6961685504.0,1304938325.33,2662400.0,5.83,0.0,0.37,0.47,0.47
1018,2,"('carts',)",a1.xlarge,977.36,76.5,22.85,6966056618.67,1304940714.67,2662400.0,5.58,0.0,0.09,0.27,0.27
257,0,"('orders',)",a1.medium,227.84,88.6,36.86,1307716437.33,1251572053.33,2662400.0,4.0,0.0,0.5,0.85,0.85
384,0,"('orders',)",M6.medium,243.59,83.09,32.94,3225525559.65,1255424356.17,2662400.0,4.67,0.0,0.66,0.76,0.76
638,0,"('orders',)",a1.large,280.44,43.9,19.02,3065702741.33,1261519872.0,2662400.0,5.04,0.0,1.92,0.9,0.9
765,0,"('orders',)",M6.large,271.49,51.19,19.89,6980289536.0,1250810538.67,2662400.0,5.65,0.0,0.55,0.67,0.67
1019,0,"('orders',)",a1.xlarge,314.88,33.35,12.71,6892348416.0,1310097237.33,2662400.0,5.83,0.0,0.38,0.4,0.4
3,0,"('orders',)",t3.micro,300.99,25.37,16.2,489975296.0,530037077.33,536576.0,4.71,0.0,0.32,0.24,0.24
3,0,"('orders',)",t3.micro,609.83,59.52,24.0,325861888.0,342366378.67,918186.67,4.75,0.0,0.4,0.37,0.37
130,0,"('orders',)",t3.small,284.36,56.64,25.21,1140936874.67,1105534805.33,2662400.0,4.58,0.04,0.21,0.4,0.4
1146,0,"('orders',)",M6.xlarge,324.39,31.81,11.29,15197897386.67,1310065152.0,2662400.0,5.17,0.0,0.38,0.51,0.51
1146,1,"('orders',)",M6.xlarge,652.1,52.36,16.55,15193135786.67,1311736490.67,2662400.0,5.63,0.0,0.07,0.23,0.23
1146,2,"('orders',)",M6.xlarge,979.56,73.35,21.68,15236825770.67,1311223808.0,2662400.0,5.5,0.0,0.31,0.33,0.33
892,0,"('orders',)",t3.large,273.48,52.53,21.6,6856361472.0,1308041728.0,2662400.0,4.63,0.0,0.18,0.56,0.56
